2017-06-01 07:31,6134,2017-06-01 07:54,6721,1382,1
2017-06-01 07:34,6258,2017-06-01 07:59,6034,1490,1
2017-06-01 08:04,6200,2017-06-01 08:15,6015,614,1
2017-06-01 08:07,6065,2017-06-01 08:13,6057,352,1
2017-06-01 08:23,6916,2017-06-01 08:57,6043,2034,1
2017-06-01 08:27,6104,2017-06-01 08:52,6375,1466,1
2017-06-01 08:28,6006,2017-06-01 08:41,6386,821,1
2017-06-01 08:30,6204,2017-06-01 08:34,7080,246,1
2017-06-01 08:34,6261,2017-06-01 09:03,6057,1721,1
2017-06-01 08:35,6108,2017-06-01 08:47,6003,731,1
2017-06-01 08:39,6049,2017-06-01 08:44,6036,305,1
2017-06-01 08:40,6044,2017-06-01 08:55,6081,888,1
2017-06-01 08:46,6227,2017-06-01 08:54,6218,502,1
2017-06-01 08:56,7065,2017-06-01 09:21,6014,1532,1
2017-06-01 09:32,6091,2017-06-01 09:43,6052,630,1
2017-07-01 07:31,6134,2017-07-01 07:54,6721, O_bike_start, O_space_end
2017-07-01 08:00,6159,2017-07-01 08:05,6721, X_bike_start, O_space_end, Ann / William, Cadillac / Sherbrooke
2017-07-01 08:06,6159,2017-07-01 08:10,6752, X_bike_start, X_space_end, Ann / William, Hutchison / Beaubien
2017-07-01 08:11,6134,2017-07-01 08:15,6752, O_bike_start, X_space_end, Gascon / Rachel, Hutchison / Beaubien
2017-07-01 08:16,6134,2017-07-01 08:17,6721, O_bike_start, O_space_end, Gascon / Rachel, Cadillac / Sherbrooke
2017-07-01 08:16,6134,2017-07-01 08:17,6721, O_bike_start, O_space_end
2017-07-01 08:16,6134,2017-07-01 08:17,6721, O_bike_start, O_space_end
2017-07-01 08:16,6134,2017-07-01 08:17,6721, O_bike_start, O_space_end
2017-07-01 08:16,6134,2017-07-01 08:17,6721, O_bike_start, O_space_end
2017-07-01 08:18,6140,2017-07-01 08:19,6721, O_bike_start, O_space_end, Marquette / Rachel, Cadillac / Sherbrooke
2017-07-01 08:18,6140,2017-07-01 08:19,6721, O_bike_start, O_space_end
2017-07-01 08:18,6140,2017-07-01 08:19,6721, O_bike_start, O_space_end
2017-07-01 08:18,6140,2017-07-01 08:19,6721, O_bike_start, O_space_end
2017-07-01 08:20,6134,2017-07-01 08:21,6924, O_bike_start, O_space_end, Gascon / Rachel, de Bordeaux / Jean-Talon
2017-07-01 08:20,6134,2017-07-01 08:21,6924, O_bike_start, O_space_end
2017-07-01 08:20,6134,2017-07-01 08:21,6924, O_bike_start, O_space_end
2017-07-01 08:20,6134,2017-07-01 08:21,6924, O_bike_start, O_space_end
